user,link,text,created_at,#likes,#comments,#retweets
Elon Musk,https://twitter.com/elonmusk/status/1804529658005803227#m,"Exactly.   A “class action” lawsuit, by definition, should represent the class, yet this one, and most others, do NOT, serving simply to enrich law firms at the expense of the people they falsely claim to represent.  The law should be changed to require at least 10% of the members of the supposed class to vote in favor of a class action suit. If they can’t even muster 10%, it is obviously bogus.","Jun 22, 2024 · 2:59 PM UTC",67527,4835,13411
Elon Musk,https://twitter.com/elonmusk/status/1804509454861565954#m,It is really is,"Jun 22, 2024 · 1:39 PM UTC",90554,4912,12814
Elon Musk,https://twitter.com/elonmusk/status/1804496195198611760#m,,"Jun 22, 2024 · 12:46 PM UTC",155174,8016,28135
Starlink,https://twitter.com/Starlink/status/1804232517794566359#m,"¡Starlink Mini ya está disponible en Colombia, Panamá, El Salvador y Guatemala!  Haz tu pedido en línea en menos de 2 minutos → starlink.com","Jun 21, 2024 · 7:18 PM UTC",5231,597,906
Elon Musk,https://twitter.com/elonmusk/status/1804217213429350818#m,Cool,"Jun 21, 2024 · 6:17 PM UTC",58164,3253,6805
Elon Musk,https://twitter.com/elonmusk/status/1804204747601424648#m,Interesting,"Jun 21, 2024 · 5:28 PM UTC",161761,9130,32555
Elon Musk,https://twitter.com/elonmusk/status/1804188196546449660#m,,"Jun 21, 2024 · 4:22 PM UTC",1339153,20808,116238
Tesla North America,https://twitter.com/tesla_na/status/1804166538578071849#m,"New Tesla Center in Lake Elmo, MN 🇺🇸 → https://www.tesla.com/findus?v=2&search=Lake%20Elmo,%20MN%2055042,%20USA&bounds=44.99889153698986,-92.83360630791017,44.818716168557515,-92.98123509208986&zoom=12&filters=store,service,supercharger,destination%20charger,bodyshop,party,self%20serve%20demo%20drive,nacs,delivery%20centers&location=teslasaintpaulteslacenter","Jun 21, 2024 · 2:56 PM UTC",9900,515,3462
Elon Musk,https://twitter.com/elonmusk/status/1804162414012961193#m,🎯🤣,"Jun 21, 2024 · 2:40 PM UTC",319441,4212,27471
Elon Musk,https://twitter.com/elonmusk/status/1803930544830582799#m,All-In interviews @realDonaldTrump!,"Jun 20, 2024 · 11:18 PM UTC",105773,5427,23178
SpaceX,https://twitter.com/SpaceX/status/1803907094287917126#m,"Falcon 9’s first stage lands on Just Read the Instructions, completing our 250th droneship landing","Jun 20, 2024 · 9:45 PM UTC",18815,756,2583
Elon Musk,https://twitter.com/elonmusk/status/1803849373018644880#m,"Sizing for ~130MW of power & cooling this year, but will increase to >500MW over next 18 months or so.   Aiming for about half Tesla AI hardware, half Nvidia/other.  Play to win or don’t play at all.","Jun 20, 2024 · 5:56 PM UTC",19066,1467,1959
Elon Musk,https://twitter.com/elonmusk/status/1803845366183256178#m,This is messed up,"Jun 20, 2024 · 5:40 PM UTC",403084,22043,87313
Elon Musk,https://twitter.com/elonmusk/status/1803813308715106808#m,We are nothing without our fans,"Jun 20, 2024 · 3:33 PM UTC",416189,10066,25387
Elon Musk,https://twitter.com/elonmusk/status/1803788430012187075#m,Civilization may end with a bang or with a whimper (in adult diapers),"Jun 20, 2024 · 1:54 PM UTC",98337,10728,17435
Elon Musk,https://twitter.com/elonmusk/status/1803783427616821401#m,Any given AI startup is doomed to become the opposite of its name,"Jun 20, 2024 · 1:34 PM UTC",103385,8988,8708
DogeDesigner,https://twitter.com/cb_doge/status/1803777240754159951#m,𝕏 ads are now powered by A.I. The oldschool Twitter ad system is gone.  I strongly recommend advertising your business on 𝕏. It's worth trying.,"Jun 20, 2024 · 1:09 PM UTC",6714,633,1213
Elon Musk,https://twitter.com/elonmusk/status/1803776897790140449#m,,"Jun 20, 2024 · 1:08 PM UTC",73575,3945,11405
